date,PRC,RET,RETX
19480102,35.875,0.003497,0.003497
19480105,35.25,-0.017422,-0.017422
19480106,35.625,0.010638,0.010638
19480107,35.375,-0.007018,-0.007018
19480108,35.625,0.007067,0.007067
19480109,35.375,-0.007018,-0.007018
19480110,35.75,0.010601,0.010601
19480112,35.75,0,0
19480113,35.625,-0.003497,-0.003497
19480114,35.5,-0.003509,-0.003509
19480115,35.5,0,0
19480116,35.5,0,0
19480117,35.5,0,0
19480119,35.25,-0.007042,-0.007042
19480120,35.25,0,0
19480121,34.75,-0.014184,-0.014184
19480122,34.75,0,0
19480123,34.25,-0.014388,-0.014388
19480124,34.25,0,0
19480126,34,-0.007299,-0.007299
19480127,34.125,0.003676,0.003676
19480128,34.125,0,0
19480129,34.5,0.010989,0.010989
19480130,34.375,-0.003623,-0.003623
19480131,34.375,0,0
19480202,34.25,-0.003636,-0.003636
19480203,34.25,0,0
19480204,34.125,-0.00365,-0.00365
19480205,33.625,-0.014652,-0.014652
19480206,33.875,0.007435,0.007435
19480207,34.125,0.00738,0.00738
19480209,34.375,0.007326,0.007326
19480210,33.375,-0.029091,-0.029091
19480211,33.125,-0.007491,-0.007491
19480213,32.875,-0.007547,-0.007547
19480214,32.625,-0.007605,-0.007605
19480216,32.75,0.003831,0.003831
19480217,33.125,0.01145,0.01145
19480218,33,-0.003774,-0.003774
19480219,32.625,-0.011364,-0.011364
19480220,32.125,-0.015326,-0.015326
19480221,32.5,0.011673,0.011673
19480224,32.375,-0.003846,-0.003846
19480225,32.75,0.011583,0.011583
19480226,32.875,0.003817,0.003817
19480227,32.375,-0.015209,-0.015209
19480228,32.625,0.007722,0.007722
19480301,32.875,0.007663,0.007663
19480302,32.875,0,0
19480303,32.75,-0.003802,-0.003802
19480304,32.625,-0.003817,-0.003817
19480305,32.75,0.003831,0.003831
19480306,32.75,0,0
19480308,32.375,-0.01145,-0.01145
19480309,32.5,0.003861,0.003861
19480310,32.375,0.008462,-0.003846
19480311,31.75,-0.019305,-0.019305
19480312,32.125,0.011811,0.011811
19480313,32.875,0.023346,0.023346
19480315,32.375,-0.015209,-0.015209
19480316,32.25,-0.003861,-0.003861
19480317,32.375,0.003876,0.003876
19480318,32.375,0,0
19480319,33.375,0.030888,0.030888
19480320,34.25,0.026217,0.026217
