,DoByDidandDo,NobyTten,NobyNotando,ThebyToandThe,UponbyOnandUpon
AFuneralElegyforMasterWilliamPeter,0.4166666666666667,0.00684931506849315,0.0851063829787234,0.5442622950819672,0.47619047619047616
ALoversComplaint,0.1935483870967742,0.007380073800738007,0.1,0.5373134328358209,0.5333333333333333
AMidsummerNightsDreamACTI,0.6666666666666666,0.02857142857142857,0.45,0.5329341317365269,0.35714285714285715
AMidsummerNightsDreamACTII,0.8974358974358975,0.030303030303030304,0.23076923076923078,0.7619047619047619,0.2727272727272727
AMidsummerNightsDreamACTIII,0.6923076923076923,0.03717472118959108,0.2564102564102564,0.5227272727272727,0.25
AMidsummerNightsDreamACTIV,0.5882352941176471,0.03982300884955752,0.34615384615384615,0.6511627906976745,0.42857142857142855
AMidsummerNightsDreamACTV,0.6,0.04838709677419355,0.4186046511627907,0.6939890710382514,0.2857142857142857
AllsWellThatEndsWellACTI,0.782608695652174,0.0423728813559322,0.36363636363636365,0.6073059360730594,0.23529411764705882
AllsWellThatEndsWellACTII,0.8235294117647058,0.025196850393700787,0.19047619047619047,0.5193548387096775,0.4
AllsWellThatEndsWellACTIII,0.8,0.03138075313807531,0.29411764705882354,0.6561085972850679,0.6190476190476191
AllsWellThatEndsWellACTIV,0.7894736842105263,0.034482758620689655,0.2857142857142857,0.6194968553459119,0.5454545454545454
AllsWellThatEndsWellACTV,0.5161290322580645,0.024861878453038673,0.2571428571428571,0.5535714285714286,0.631578947368421
AntonyandCleopatraACTI,0.48,0.029850746268656716,0.25925925925925924,0.6198347107438017,0.4782608695652174
AntonyandCleopatraACTII,0.5,0.02886002886002886,0.22727272727272727,0.5802816901408451,0.5666666666666667
AntonyandCleopatraACTIII,0.59375,0.025185185185185185,0.22972972972972974,0.6353276353276354,0.35135135135135137
AntonyandCleopatraACTIV,0.7428571428571429,0.03048780487804878,0.3191489361702128,0.6356589147286822,0.34615384615384615
AntonyandCleopatraACTV,0.75,0.038929440389294405,0.35555555555555557,0.589622641509434,0.3333333333333333
AsYouLikeItACTI,0.68,0.03697183098591549,0.3,0.5811965811965812,0.5
AsYouLikeItACTII,0.5833333333333334,0.034482758620689655,0.2698412698412698,0.64,0.4166666666666667
AsYouLikeItACTIII,0.8055555555555556,0.05316091954022988,0.3425925925925926,0.6761565836298933,0.3870967741935484
AsYouLikeItACTIV,0.4838709677419355,0.03188405797101449,0.3055555555555556,0.5766871165644172,0.45454545454545453
AsYouLikeItACTV,0.7916666666666666,0.05353319057815846,0.4716981132075472,0.5203252032520326,0.4
CymbelineACTI,0.6774193548387096,0.02538787023977433,0.23684210526315788,0.5847953216374269,0.4166666666666667
CymbelineACTII,0.6842105263157895,0.042600896860986545,0.3333333333333333,0.6291079812206573,0.42857142857142855
